listener,listener_trial,level_condition,sound_heard,listener_response,proportion_correct,typical_source_intensity
12,5,1,scream,scream,1,high-intensity
12,6,1,truck beeping,truck beeping,1,high-intensity
12,7,6,heart beats,heart beats,1,low-intensity
12,8,2,clock ticking,clock ticking,1,low-intensity
12,9,6,clarinet,tuba,0,3
12,10,2,crowd booing,crowd booing,1,high-intensity
12,11,1,dove cooing,seagulls,0,low-intensity
12,12,1,paper cutter,paper cutter,1,low-intensity
12,13,3,chopping food,chopping food,1,low-intensity
12,14,1,flute,flute,1,3
12,15,4,record scratching,record scratching,1,2
12,16,6,key opening door,chopping wood,0,low-intensity
12,17,6,oboe,oboe,1,3
12,18,2,spanish,spanish,1,3
12,19,3,radar beeps,radar beeps,1,2
12,20,7,toilet flushing,toilet flushing,1,2
12,21,1,fan,fan,1,2
12,22,5,typing,typing,1,low-intensity
12,23,7,train whistle,train whistle,1,high-intensity
12,24,6,harmonica,harmonica,1,3
12,25,4,thunder,thunder,1,high-intensity
12,26,4,hand saw,hand saw,1,high-intensity
12,27,2,banjo,banjo,1,high-intensity
12,28,6,sipping,sipping,1,2
12,29,2,grunting and groaning,grunting and groaning,1,2
12,30,7,noisemaker,bike bell,0,high-intensity
12,31,6,grating food,record scratching,0,low-intensity
12,32,3,orchestra tuning,orchestra tuning,1,high-intensity
12,33,2,bicycle,bicycle,1,low-intensity
12,34,3,blender,electric hand drill,0,high-intensity
12,35,3,dishes clanking,dishes clanking,1,3
12,36,1,boat horn,car power windows,0,high-intensity
12,37,1,car horn,car horn,1,high-intensity
12,38,6,bus decelerating,bulldozer,0,3
12,39,6,car alarm,car alarm,1,high-intensity
12,40,2,sports arena buzzer,sports arena buzzer,1,high-intensity
12,41,4,rubbing cloth,rubbing cloth,1,low-intensity
12,42,5,car engine starting,car engine starting,1,3
12,43,1,cat purring,cat purring,1,low-intensity
12,44,4,school hallway,school hallway,1,high-intensity
12,45,6,wing flapping,wing flapping,1,low-intensity
12,46,4,piano,piano,1,3
12,47,1,baby babbling,baby babbling,1,3
12,48,6,lion growl,lion growl,1,high-intensity
12,49,1,truck,train passing by,0,high-intensity
12,50,5,electric bass,electric bass,1,3
12,51,4,drink fizzing,drink fizzing,1,low-intensity
12,52,6,coughing,coughing,1,3
12,53,4,helicopter,helicopter,1,high-intensity
12,54,3,soda pouring into a cup,soda pouring into a cup,1,low-intensity
12,55,2,fire,car idling,0,low-intensity
12,56,1,biting and chewing,paper shredder,0,2
12,57,3,paper tearing,paper tearing,1,low-intensity
12,58,4,organ,organ,1,high-intensity
12,59,6,shouting,shouting,1,high-intensity
12,60,5,music box,music box,1,low-intensity
12,61,6,car crash,car crash,1,high-intensity
12,62,2,chicken cluck,chicken cluck,1,2
12,63,1,balloon deflating,skate boarding,0,2
12,64,5,dial tone,dial tone,1,low-intensity
12,65,4,dialup,dialup,1,3
12,66,6,crow,crow,1,3
12,67,2,scratching,scratching,1,low-intensity
12,68,3,triangle,coloring,0,2
12,69,5,match lighting,film reel,0,low-intensity
12,70,7,drinking,drinking,1,low-intensity
12,71,2,dentist drill,dentist drill,1,high-intensity
12,72,5,car windows,car windows,1,2
12,73,5,opening a soda bottle,rollerblading,0,low-intensity
12,74,3,german,german,1,2
12,75,2,spray can shaking,spray can shaking,1,2
12,76,1,horse neighing,horse neighing,1,3
12,77,2,opening a letter,opening a letter,1,low-intensity
12,78,3,hair dryer,hair dryer,1,high-intensity
12,79,5,walking on gravel,walking on gravel,1,2
12,80,2,camera turning on,camera turning on,1,low-intensity
12,81,1,car deccelerating,car deccelerating,1,low-intensity
12,82,1,dog panting,dog panting,1,2
12,83,2,walking on leaves,walking on leaves,1,2
12,84,2,race car,race car,1,high-intensity
12,85,3,coins jingling in a pocket,coins jingling in a pocket,1,2
12,86,3,spray can spraying,spray can spraying,1,low-intensity
12,87,3,woman speaking,woman speaking,1,3
12,88,2,drum roll,drum roll,1,high-intensity
12,89,3,man speaking,man speaking,1,2
12,90,6,motorcycle revving,motorcycle revving,1,high-intensity
12,91,1,coins dropping,coins dropping,1,low-intensity
12,92,4,door sliding shut,door sliding shut,1,low-intensity
12,93,3,owl hooting,owl hooting,1,low-intensity
12,94,3,morse code,morse code,1,3
12,95,2,gunshots,gunshots,1,high-intensity
12,96,2,bird song,bird song,1,2
12,97,2,stream,stream,1,low-intensity
12,98,4,school bell,school bell,1,high-intensity
12,99,6,wolves howlling,wolves howlling,1,2
12,100,7,keys jingling,printing,0,low-intensity
12,101,6,siren,siren,1,high-intensity
12,102,4,waves,waves,1,3
12,103,3,window blinds,window blinds,1,2
12,104,4,train warning bell,train warning bell,1,high-intensity
12,105,2,bike bell,bike bell,1,2
12,106,1,pager beeps,pager beeps,1,3
12,107,1,writing on a whiteboard,rocking chair,0,low-intensity
12,108,7,running on gravel,running on gravel,1,3
12,109,7,newspaper page turning,newspaper page turning,1,low-intensity
12,110,6,tap dancing,tap dancing,1,high-intensity
12,111,4,traffic noises,traffic noises,1,high-intensity
12,112,6,seal,seal,1,3
12,113,2,rollerblading,rollerblading,1,3
12,114,6,brushing hair,brushing hair,1,low-intensity
12,115,3,fireworks,fireworks,1,high-intensity
12,116,5,rain,rain,1,3
12,117,5,turning a lock,shaving with electric razor,0,low-intensity
12,118,3,slot machine,slot machine,1,high-intensity
12,119,1,grandfather clock,grandfather clock,1,3
12,120,3,gong,gong,1,high-intensity
12,121,3,elevator door,elevator door,1,2
12,122,2,zipper,zipper,1,low-intensity
12,123,5,basketball dribbling,basketball dribbling,1,2
12,124,5,harp,harp,1,2
12,125,3,coffee machine,spray can shaking,0,low-intensity
12,126,2,locker closing,locker closing,1,3
12,127,5,shuffling,ice in cup,0,low-intensity
12,128,2,crowd cheering,crowd cheering,1,high-intensity
12,129,7,door opening,door opening,1,2
12,130,1,duck quack,duck quack,1,3
12,131,3,skate boarding,chair rolling,0,2
12,132,4,fire alarm,fire alarm,1,high-intensity
12,133,7,peeling,air hockey,0,low-intensity
12,134,2,russian,russian,1,2
12,135,5,camera taking a picture,camera taking a picture,1,2
12,136,2,rattlesnake,rattlesnake,1,2
12,137,5,chinese,chinese,1,3
12,138,6,telephone ringing,telephone ringing,1,high-intensity
12,139,4,bassoon,violin,0,3
12,140,4,leather coat,leather coat,1,low-intensity
12,141,2,tambourine,tambourine,1,3
12,142,6,car idling,car idling,1,low-intensity
12,143,6,swimming,swimming,1,2
12,144,1,cartoon sound effects,music box,0,3
12,145,3,dog drinking,dog drinking,1,2
12,146,7,chair rolling,chair rolling,1,low-intensity
12,147,2,printing,printing,1,3
12,148,1,jumping rope,jumping rope,1,2
12,149,7,crowd laughing,crowd laughing,1,high-intensity
12,150,6,chopping wood,chopping wood,1,3
12,151,3,shopping cart,shopping cart,1,2
12,152,7,marching,biting and chewing,0,3
12,153,5,alarm clock,alarm clock,1,high-intensity
12,154,4,dog whining,coughing,0,3
12,155,3,pepper grinder,pepper grinder,1,2
12,156,7,velcro,velcro,1,low-intensity
12,157,1,laughing,laughing,1,high-intensity
12,158,4,roulette wheel,roulette wheel,1,2
12,159,5,hammering metal,coins dropping,0,high-intensity
12,160,5,gargling,gargling,1,low-intensity
12,161,1,knocking on door,knocking on door,1,3
12,162,2,cricket,cricket,1,2
12,163,5,breathing,breathing,1,low-intensity
12,164,1,nose blowing,nose blowing,1,3
12,165,7,sighing,sighing,1,low-intensity
12,166,4,running on sand,running on sand,1,low-intensity
12,167,4,acoustic bass,acoustic bass,1,2
12,168,3,clipping hair,clipping hair,1,low-intensity
12,169,3,shoveling,shoveling,1,2
12,170,2,heart monitor,heart monitor,1,3
12,171,7,pinball,pinball,1,high-intensity
12,172,6,dog barking,dog barking,1,high-intensity
12,173,3,humming,humming,1,low-intensity
12,174,2,gavel hits,gavel hits,1,3
12,175,3,scrubbing dishes,scrubbing dishes,1,2
12,176,2,witch cackle,witch cackle,1,high-intensity
12,177,7,doorbell,doorbell,1,high-intensity
12,178,4,volcanic eruption,volcanic eruption,1,high-intensity
12,179,4,door creaking,door creaking,1,2
12,180,5,bus accelerating,bus accelerating,1,2
12,181,1,stones tumbling,shuffling,0,2
12,182,1,drawer opening,locker closing,0,low-intensity
12,183,2,walking with heels,walking with heels,1,2
12,184,4,violin,violin,1,3
12,185,6,water boiling,water boiling,1,low-intensity
12,186,3,radio static,radio static,1,3
12,187,5,seagulls,seagulls,1,3
12,188,2,water splashing,water splashing,1,3
12,189,5,coin in a vending machine,coin in a vending machine,1,low-intensity
12,190,7,phone vibrating,phone vibrating,1,low-intensity
12,191,5,sword fighting,sword fighting,1,3
12,192,6,crying,crying,1,high-intensity
12,193,2,writing on a chalkboard,writing on a chalkboard,1,2
12,194,7,train passing by,train passing by,1,high-intensity
12,195,5,mac startup sound,mac startup sound,1,low-intensity
12,196,4,writing on paper,writing on paper,1,low-intensity
12,197,3,whistle,whistle,1,high-intensity
12,198,6,italian,italian,1,2
12,199,3,darth vader,darth vader,1,2
12,200,4,cow mooing,cow mooing,1,3
12,201,6,scissors cutting paper,scissors cutting paper,1,low-intensity
12,202,2,toy squeaks,toy squeaks,1,3
12,203,2,bees,bees,1,low-intensity
12,204,5,cat meow,cat meow,1,2
12,205,7,sleigh bells,sleigh bells,1,3
12,206,6,busy signal,busy signal,1,2
12,207,4,reception desk bell,reception desk bell,1,3
12,208,4,coloring,coloring,1,low-intensity
12,209,6,kid speaking,kid speaking,1,3
12,210,2,pool balls colliding,pool balls colliding,1,3
12,211,3,rooster crowing,rooster crowing,1,high-intensity
12,212,4,cello,cello,1,3
12,213,7,sails flapping,sails flapping,1,3
12,214,6,geese honking,geese honking,1,3
12,215,4,cymbol crash,cymbol crash,1,high-intensity
12,216,6,castanet,castanet,1,3
12,217,6,plane taking off,plane taking off,1,high-intensity
12,218,7,guitar,guitar,1,3
12,219,6,slicing bread,slicing bread,1,low-intensity
12,220,1,tennis volley,tennis volley,1,3
12,221,5,inflating a balloon,inflating a balloon,1,low-intensity
12,222,4,can opening,can opening,1,low-intensity
12,223,5,wind chimes,wind chimes,1,3
12,224,1,a capella singing,a capella singing,1,3
12,225,7,screwing in a nail,opening a letter,0,2
12,226,2,running up stairs,running up stairs,1,2
12,227,1,paper shredder,paper shredder,1,high-intensity
12,228,6,ice in cup,ice in cup,1,low-intensity
12,229,2,bear growling,bear growling,1,3
12,230,6,car accelerating,busaccelerating,0,2
12,231,6,salt shaker,salt shaker,1,low-intensity
12,232,4,finger tapping,chicken clucking,0,low-intensity
12,233,5,bowling,bowling,1,high-intensity
12,234,4,horse galloping,horse galloping,1,2
12,235,4,chainsaw revving,chainsaw revving,1,high-intensity
12,236,1,shower,balloondeflating,0,3
12,237,6,rubbing hands,rubbing hands,1,low-intensity
12,238,4,windows startup sound,windows startup sound,1,2
12,239,4,drum solo,drum solo,1,high-intensity
12,240,7,Indian,Indian,1,2
12,241,7,cicadas,cicadas,1,3
12,242,2,water dripping,water dripping,1,low-intensity
12,243,4,cash register,cash register,1,2
12,244,4,sheep,sheep,1,3
12,245,3,applause,applause,1,high-intensity
12,246,4,cuckoo clock,cuckoo clock,1,3
12,247,1,dice roll,dice roll,1,low-intensity
12,248,6,pig snorting,pig snorting,1,3
12,249,3,bagpipes,bagpipes,1,high-intensity
12,250,5,monkey screaming,monkey screaming,1,high-intensity
12,251,5,lawn mower,lawn mower,1,high-intensity
12,252,5,film reel,film reel,1,3
12,253,4,windup toy,windup toy,1,low-intensity
12,254,6,ping pong,ping pong,1,3
12,255,6,gorilla,gorilla,1,3
12,256,5,rocking chair,rocking chair,1,3
12,257,6,car driving through a puddle,ice machine,0,2
12,258,1,drawer closing,running up stairs,0,low-intensity
12,259,6,frying,frying,1,2
12,260,4,screwing off a lid,screwing off a lid,1,low-intensity
12,261,1,church bells,church bells,1,high-intensity
12,262,4,tooth brushing,tooth brushing,1,low-intensity
12,263,7,arabic,arabic,1,2
12,264,3,air hockey,air hockey,1,3
12,265,5,walking on a hard surface,walking on a hard surface,1,2
12,266,3,chiseling,chiseling,1,2
12,267,1,crowd noise,crowd noise,1,high-intensity
12,268,4,running on a hard surface,running on a hard surface,1,2
12,269,5,wind,wind,1,2
12,270,3,explosion,explosion,1,high-intensity
12,271,5,tree falling,tree falling,1,high-intensity
12,272,1,giggling,giggling,1,3
12,273,5,microwave,microwave,1,low-intensity
12,274,5,flag,flag,1,low-intensity
12,275,3,turkey gobble,turkey gobble,1,3
12,276,6,dialing,dialing,1,low-intensity
12,277,6,hawk screech,hawk screech,1,3
12,278,5,fax,fax,1,2
12,279,1,ringtone,ringtone,1,3
12,280,4,vacuum,vacuum,1,high-intensity
12,281,7,hammering a nail,hammering a nail,1,high-intensity
12,282,1,whistling,whistling,1,2
12,283,2,bass drum hits,bass drum hits,1,high-intensity
12,284,4,oldfashioned dialer,oldfashioned dialer,1,low-intensity
12,285,2,ratchet,dialup internet,0,2
12,286,3,french,french,1,2
12,287,3,glass shattering,glass shattering,1,high-intensity
12,288,6,electric drill,electric drill,1,high-intensity
12,289,2,whale call,whale call,1,2
12,290,4,liquid pouring out of a bottle,liquid pouring out of a bottle,1,2
12,291,2,ice machine,ice in cup,0,2
12,292,5,jackhammer,jackhammer,1,high-intensity
12,293,2,popcorn popping,popcorn popping,1,3
12,294,1,accordian,accordian,1,high-intensity
12,295,3,car skidding,car skidding,1,high-intensity
12,296,1,tuba,tuba,1,3
12,297,3,tractor,shopping cart,0,high-intensity
12,298,4,crumpling paper,crumpling paper,1,2
12,299,1,knives sharpening,knives sharpening,1,2
12,300,1,shaving with electric razor,shaving with electric razor,1,2
13,1,6,whistle,whistle,1,high-intensity
13,2,2,biting and chewing,biting and chewing,1,2
13,3,5,telephone ringing,telephone ringing,1,high-intensity
13,4,4,duck quack,duck quack,1,3
13,5,1,crumpling paper,crumpling paper,1,2
13,6,2,lawn mower,lawn mower,1,high-intensity
13,7,5,window blinds,window blinds,1,2
13,8,6,turkey gobble,turkey gobble,1,3
13,9,3,balloon deflating,balloon deflating,1,2
13,10,1,french,french,1,2
13,11,5,phone vibrating,phone vibrating,1,low-intensity
13,12,7,darth vader,darth vader,1,2
13,13,6,basketball dribbling,basketball dribbling,1,2
13,14,5,crowd noise,crowd noise,1,high-intensity
13,15,5,wing flapping,printing,0,low-intensity
13,16,7,rooster crowing,rooster crowing,1,high-intensity
13,17,6,shaving with electric razor,shaving with electric razor,1,2
13,18,7,popcorn popping,popcorn popping,1,3
13,19,2,horse neighing,horse neighing,1,3
13,20,6,cello,cello,1,3
13,21,1,shuffling,shuffling,1,low-intensity
13,22,4,clarinet,clarinet,1,3
13,23,4,car accelerating,car accelerating,1,2
13,24,2,geese honking,geese honking,1,3
13,25,4,sighing,sighing,1,low-intensity
13,26,1,film reel,film reel,1,3
13,27,4,arabic,arabic,1,2
13,28,2,cymbol crash,cymbol crash,1,high-intensity
13,29,6,electric bass,electric bass,1,3
13,30,6,bass drum hits,bass drum hits,1,high-intensity
13,31,4,paper tearing,paper tearing,1,low-intensity
13,32,2,dialup,dialup,1,3
13,33,6,zipper,zipper,1,low-intensity
13,34,5,stream,blowing on bottle,0,low-intensity
13,35,6,coffee machine,rocking chair,0,low-intensity
13,36,7,baby crying,baby crying,1,high-intensity
13,37,6,dentist drill,dentist drill,1,high-intensity
13,38,7,crow,crow,1,3
13,39,3,slicing bread,slicing bread,1,low-intensity
13,40,6,flag,rain,0,low-intensity
13,41,4,oboe,oboe,1,3
13,42,7,walking on a hard surface,walking on a hard surface,1,2
13,43,4,chiseling,chiseling,1,2
13,44,5,a capella singing,a capella singing,1,3
13,45,4,rain,rain,1,3
13,46,7,drink fizzing,drink fizzing,1,low-intensity
13,47,5,water boiling,water boiling,1,low-intensity
13,48,5,dice roll,dice roll,1,low-intensity
13,49,5,owl hooting,owl hooting,1,low-intensity
13,50,1,walking with heels,walking with heels,1,2
13,51,4,explosion,explosion,1,high-intensity
13,52,6,oldfashioned dialer,oldfashioned dialer,1,low-intensity
13,53,5,scissors cutting paper,scissors cutting paper,1,low-intensity
13,54,3,laughing,laughing,1,high-intensity
13,55,5,crying,crying,1,high-intensity
13,56,6,wind chimes,wind chimes,1,3
13,57,5,helicopter,helicopter,1,high-intensity
13,58,4,electric drill,electric drill,1,high-intensity
13,59,5,cartoon sound effects,tap dancing,0,3
13,60,4,bus accelerating,bus accelerating,1,2
13,61,1,bees,bees,1,low-intensity
13,62,5,vacuum,vacuum,1,high-intensity
13,63,1,spray can shaking,spray can shaking,1,2
13,64,7,dog panting,dog panting,1,2
13,65,4,truck beeping,truck beeping,1,high-intensity
13,66,4,bird song,bird song,1,2
13,67,1,swimming,cat purring,0,2
13,68,1,coughing,coughing,1,3
13,69,6,coins dropping,coins dropping,1,low-intensity
13,70,1,clipping hair,clipping hair,1,low-intensity
13,71,3,volcanic eruption,volcanic eruption,1,high-intensity
13,72,7,siren,siren,1,high-intensity
13,73,7,car alarm,car alarm,1,high-intensity
13,74,1,skate boarding,skate boarding,1,2
13,75,4,chinese,chinese,1,3
13,76,7,school hallway,school hallway,1,high-intensity
13,77,6,applause,applause,1,high-intensity
13,78,5,acoustic bass,acoustic bass,1,2
13,79,2,turning a lock,pepper grinder,0,low-intensity
13,80,2,paper cutter,paper cutter,1,low-intensity
13,81,1,roulette wheel,roulette wheel,1,2
13,82,6,accordian,accordian,1,high-intensity
13,83,3,camera taking a picture,camera taking a picture,1,2
13,84,1,frog croaking,frog croaking,1,2
13,85,7,chopping wood,chopping wood,1,3
13,86,7,fire,fire,1,low-intensity
13,87,4,dove cooing,dove cooing,1,low-intensity
13,88,2,seal,seal,1,3
13,89,7,knocking on door,knocking on door,1,3
13,90,5,violin,violin,1,3
13,91,7,nose blowing,nose blowing,1,3
13,92,6,radar beeps,radar beeps,1,2
13,93,6,morse code,morse code,1,3
13,94,2,dishes clanking,dishes clanking,1,3
13,95,1,gong,gong,1,high-intensity
13,96,2,glass shattering,glass shattering,1,high-intensity
13,97,6,jackhammer,jackhammer,1,high-intensity
13,98,1,sleigh bells,sleigh bells,1,3
13,99,5,writing on a chalkboard,writing on a chalkboard,1,2
13,100,5,record scratching,record scratching,1,2
13,101,5,tuba,tuba,1,3
13,102,7,sheep,sheep,1,3
13,103,6,hammering a nail,knocking on door,0,high-intensity
13,104,1,sails flapping,sails flapping,1,3
13,105,5,triangle,triangle,1,2
13,106,5,door sliding shut,car driving through a puddle,0,low-intensity
13,107,3,breathing,breathing,1,low-intensity
13,108,3,bike bell,bike bell,1,2
13,109,5,fan,fan,1,2
13,110,1,running on a hard surface,running on a hard surface,1,2
13,111,7,crowd booing,train whistle,0,high-intensity
13,112,5,motorcycle revving,motorcycle revving,1,high-intensity
13,113,5,jumping rope,jumping rope,1,2
13,114,6,alarm clock,alarm clock,1,high-intensity
13,115,1,match lighting,match lighting,1,low-intensity
13,116,1,drum solo,drum solo,1,high-intensity
13,117,6,organ,organ,1,high-intensity
13,118,4,tambourine,tambourine,1,3
13,119,6,printing,printing,1,3
13,120,3,drum roll,pig snorting,0,high-intensity
13,121,1,plane taking off,plane taking off,1,high-intensity
13,122,3,crowd laughing,laughing,0,high-intensity
13,123,5,car idling,car idling,1,low-intensity
13,124,6,toilet flushing,toilet flushing,1,2
13,125,6,tractor,shopping cart,0,high-intensity
13,126,3,walking on gravel,walking on gravel,1,2
13,127,4,scratching,scratching,1,low-intensity
13,128,6,seagulls,geese,0,3
13,129,3,fire alarm,fire alarm,1,high-intensity
13,130,3,inflating a balloon,hair dryer,0,low-intensity
13,131,6,fireworks,applause,0,high-intensity
13,132,5,pig snorting,pig snorting,1,3
13,133,2,opening a soda bottle,rollerblading,0,low-intensity
13,134,3,noisemaker,noisemaker,1,high-intensity
13,135,7,cat purring,cat purring,1,low-intensity
13,136,5,bicycle,bicycle,1,low-intensity
13,137,1,kid speaking,kid speaking,1,3
13,138,4,running on gravel,running on gravel,1,3
13,139,7,piano,piano,1,3
13,140,6,boat horn,boat horn,1,high-intensity
13,141,6,coins jingling in a pocket,coins jingling in a pocket,1,2
13,142,2,peeling,peeling,1,low-intensity
13,143,7,music box,music box,1,low-intensity
13,144,4,gorilla,gorilla,1,3
13,145,4,tennis volley,tennis volley,1,3
13,146,3,camera turning on,camera turning on,1,low-intensity
13,147,7,grating food,electric hand drill,0,low-intensity
13,148,2,hawk screech,hawk screech,1,3
13,149,1,liquid pouring out of a bottle,liquid pouring out of a bottle,1,2
13,150,1,reception desk bell,reception desk bell,1,3
13,151,1,radio static,radio static,1,3
13,152,2,waves,waves,1,3
13,153,5,orchestra tuning,orchestra tuning,1,high-intensity
13,154,6,dial tone,dial tone,1,low-intensity
13,155,2,hair dryer,vacuum,0,high-intensity
13,156,7,frying,frying,1,2
13,157,6,pager beeps,pager beeps,1,3
13,158,7,banjo,banjo,1,high-intensity
13,159,5,sports arena buzzer,sports arena buzzer,1,high-intensity
13,160,5,chair rolling,chair rolling,1,low-intensity
13,161,6,door creaking,door creaking,1,2
13,162,3,Indian,Indian,1,2
13,163,3,rocking chair,rocking chair,1,3
13,164,1,coloring,coloring,1,low-intensity
13,165,6,toy squeaks,toy squeaks,1,3
13,166,3,scream,scream,1,high-intensity
13,167,3,ice in cup,ice in cup,1,low-intensity
13,168,1,clock ticking,clock ticking,1,low-intensity
13,169,6,running on sand,running on sand,1,low-intensity
13,170,5,chainsaw revving,chainsaw revving,1,high-intensity
13,171,4,stones tumbling,shuffling,0,2
13,172,5,shoveling,shoveling,1,2
13,173,4,coin in a vending machine,coin in a vending machine,1,low-intensity
13,174,6,sword fighting,turning a lock,0,3
13,175,2,guitar,guitar,1,3
13,176,5,dog whining,dog whining,1,3
13,177,5,keys jingling,keys jingling,1,low-intensity
13,178,6,harp,harp,1,2
13,179,5,door opening,door opening,1,2
13,180,6,baby babbling,baby babbling,1,3
13,181,2,tooth brushing,sipping,0,low-intensity
13,182,2,bowling,bowling,1,high-intensity
13,183,1,opening a letter,opening a letter,1,low-intensity
13,184,2,church bells,church bells,1,high-intensity
13,185,1,cash register,cash register,1,2
13,186,5,cuckoo clock,cuckoo clock,1,3
13,187,7,busy signal,busy signal,1,2
13,188,3,dog barking,dog barking,1,high-intensity
13,189,7,school bell,school bell,1,high-intensity
13,190,1,cicadas,cicadas,1,3
13,191,7,grunting and groaning,grunting and groaning,1,2
13,192,3,flute,flute,1,3
13,193,2,ping pong,ping pong,1,3
13,194,5,ringtone,ringtone,1,3
13,195,7,slot machine,slot machine,1,high-intensity
13,196,4,grandfather clock,grandfather clock,1,3
13,197,6,windup toy,windup toy,1,low-intensity
13,198,2,bassoon,bassoon,1,3
13,199,2,lion growl,lion growl,1,high-intensity
13,200,7,car engine starting,car engine starting,1,3
13,201,1,running up stairs,running up stairs,1,2
13,202,3,drinking,drinking,1,low-intensity
13,203,2,pepper grinder,tearing,0,2
13,204,6,writing on paper,writing on paper,1,low-intensity
13,205,4,car windows,film reel,0,2
13,206,4,train whistle,train whistle,1,high-intensity
13,207,3,pool balls colliding,pool balls colliding,1,3
13,208,3,truck,bus decelerating,0,high-intensity
13,209,1,kettle whistling,kettle whistling,1,3
13,210,3,typing,typing,1,low-intensity
13,211,7,castanet,castanet,1,3
13,212,6,elevator door,elevator door,1,2
13,213,4,chopping food,chopping food,1,low-intensity
13,214,4,train passing by,train passing by,1,high-intensity
13,215,1,can opening,can opening,1,low-intensity
13,216,5,cow mooing,cow mooing,1,3
13,217,5,locker closing,locker closing,1,3
13,218,3,hammering metal,hammering metal,1,high-intensity
13,219,2,air hockey,air hockey,1,3
13,220,1,heart beats,heart beats,1,low-intensity
13,221,5,screwing in a nail,screwing in a nail,1,2
13,222,1,shopping cart,shopping cart,1,2
13,223,2,dog drinking,dog drinking,1,2
13,224,3,bathwater,liquid pouring out of a bottle,0,2
13,225,6,spanish,spanish,1,3
13,226,1,ratchet,rocking chair,0,2
13,227,7,cricket,cricket,1,2
13,228,5,chicken cluck,chicken cluck,1,2
13,229,2,train warning bell,train warning bell,1,high-intensity
13,230,3,knives sharpening,knives sharpening,1,2
13,231,4,heart monitor,heart monitor,1,3
13,232,3,horse galloping,horse galloping,1,2
13,233,1,velcro,coffee machine,0,low-intensity
13,234,4,bus decelerating,slicing bread,0,3
13,235,7,giggling,giggling,1,3
13,236,7,shouting,shouting,1,high-intensity
13,237,4,wolves howlling,wolves howlling,1,2
13,238,7,ice machine,ice machine,1,2
13,239,3,harmonica,harmonica,1,3
13,240,3,salt shaker,salt shaker,1,low-intensity
13,241,1,thunder,sliding door,0,high-intensity
13,242,1,woman speaking,woman speaking,1,3
13,243,4,gunshots,gunshots,1,high-intensity
13,244,4,bagpipes,bagpipes,1,high-intensity
13,245,2,marching,walking on gravel,0,3
13,246,4,fax,fax,1,2
13,247,4,brushing hair,brushing hair,1,low-intensity
13,248,5,rattlesnake,rattlesnake,1,2
13,249,5,tap dancing,tap dancing,1,high-intensity
13,250,6,whale call,whale call,1,2
13,251,2,man speaking,man speaking,1,2
13,252,5,car horn,car horn,1,high-intensity
13,253,5,water splashing,chair rolling,0,3
13,254,6,crowd cheering,crowd cheering,1,high-intensity
13,255,2,car crash,car crash,1,high-intensity
13,256,6,screwing off a lid,screwing off a lid,1,low-intensity
13,257,2,doorbell,doorbell,1,high-intensity
13,258,2,wind,wind,1,2
13,259,5,newspaper page turning,newspaper page turning,1,low-intensity
13,260,2,microwave,microwave,1,low-intensity
13,261,7,monkey screaming,monkey screaming,1,high-intensity
13,262,1,finger tapping,cutting with scissors,0,low-intensity
13,263,6,bear growling,bear growling,1,3
13,264,2,rubbing cloth,rubbing cloth,1,low-intensity
13,265,4,car deccelerating,bus accelerating,0,low-intensity
13,266,6,windows startup sound,windows startup sound,1,2
13,267,6,scrubbing dishes,scrubbing dishes,1,2
13,268,7,hand saw,hand saw,1,high-intensity
13,269,1,water dripping,water dripping,1,low-intensity
13,270,1,mac startup sound,mac startup sound,1,low-intensity
13,271,2,italian,italian,1,2
13,272,6,tree falling,tree falling,1,high-intensity
13,273,5,paper shredder,seal,0,high-intensity
13,274,6,race car,race car,1,high-intensity
13,275,1,spray can spraying,spray can spraying,1,low-intensity
13,276,1,gargling,gargling,1,low-intensity
13,277,4,writing on a whiteboard,writing on a whiteboard,1,low-intensity
13,278,1,traffic noises,traffic noises,1,high-intensity
13,279,3,gavel hits,gavel hits,1,3
13,280,3,leather coat,leather coat,1,low-intensity
13,281,1,dialing,dialing,1,low-intensity
13,282,1,car skidding,car skidding,1,high-intensity
13,283,6,russian,russian,1,2
13,284,1,blender,blender,1,high-intensity
13,285,7,sipping,sipping,1,2
13,286,3,car driving through a puddle,ice machine,0,2
13,287,6,humming,humming,1,low-intensity
13,288,4,drawer opening,drawer opening,1,low-intensity
13,289,6,walking on leaves,walking on leaves,1,2
13,290,5,whistling,whistling,1,2
13,291,5,rollerblading,rollerblading,1,3
13,292,2,pinball,pinball,1,high-intensity
13,293,3,drawer closing,running up stairs,0,low-intensity
13,294,3,key opening door,spray can spraying,0,low-intensity
13,295,3,rubbing hands,rubbing hands,1,low-intensity
13,296,6,witch cackle,witch cackle,1,high-intensity
13,297,6,shower,chair rolling,0,3
13,298,5,soda pouring into a cup,soda pouring into a cup,1,low-intensity
13,299,5,german,german,1,2
13,300,4,cat meow,cat meow,1,2
14,1,7,opening a letter,opening a letter,1,low-intensity
14,2,3,bear growling,bear growling,1,3
14,3,6,walking on a hard surface,walking on a hard surface,1,2
14,4,5,heart beats,heart beats,1,low-intensity
14,5,4,dog barking,dog barking,1,high-intensity
14,6,7,bass drum hits,bass drum hits,1,high-intensity
14,7,1,bird song,bird song,1,2
14,8,4,sword fighting,sword fighting,1,3
14,9,6,bathwater,bathwater,1,2
14,10,6,drink fizzing,drink fizzing,1,low-intensity
14,11,6,walking with heels,walking with heels,1,2
